Week,Punter,Team,Punts,Punt Yards,Blocks,Touchbacks,Fair Catches,Out-of_Bounds,50+,60+,70+,Under 20,Under 10,Under 5,1 Yd Line,Returns,Return Yards,Holds,Misses,First Downs,TD,Fumbles,Int,Conduct
1,J.Scott,GB,9,428,0,0,3,0,4,2,0,5,1,0,0,4,36,2,0,0,0,0,0,0
1,P.O'Donnell,CHI,8,341,0,0,4,1,2,0,0,3,1,1,0,1,1,1,0,0,0,0,0,0
1,J.Hekker,LA,3,144,1,0,0,1,2,2,1,0,0,0,0,2,30,6,1,0,0,0,0,0
1,M.Palardy,CAR,4,193,0,1,1,0,2,0,0,1,1,0,0,2,19,5,1,0,0,0,0,0
1,J.Gillan,CLE,5,233,0,0,4,0,1,0,0,3,1,0,0,0,0,1,1,0,0,0,0,0
1,B.Kern,TEN,6,277,0,0,1,2,1,1,1,3,2,1,0,1,18,7,0,0,0,0,0,0
1,L.Cooke,JAX,2,96,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0
1,D.Colquitt,KC,1,51,0,1,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
1,M.Haack,MIA,6,322,0,0,2,0,6,0,0,2,0,0,0,2,29,2,0,0,0,0,0,0
1,S.Koch,BAL,1,56,0,0,0,0,1,0,0,1,0,0,0,1,0,9,0,0,0,0,0,0
1,M.Bosher,ATL,3,130,1,0,3,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
1,B.Colquitt,MIN,5,247,0,0,0,0,3,0,0,2,0,0,0,4,46,4,0,0,0,0,0,0
1,L.Edwards,NYJ,7,304,0,0,4,1,2,0,0,5,2,1,0,1,10,0,2,0,0,0,0,0
1,C.Bojorquez,BUF,3,130,0,2,0,0,1,1,0,1,1,0,0,0,0,3,0,0,0,0,0,0
1,C.Johnston,PHI,3,154,0,0,2,0,2,0,0,1,0,0,0,1,11,4,0,0,0,0,0,0
1,T.Way,WAS,5,272,0,0,0,1,4,0,0,1,0,0,0,4,46,5,0,0,0,0,0,0
1,R.Sanchez,IND,3,108,0,0,0,1,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0
1,T.Long,LAC,2,98,0,0,1,0,1,0,0,2,0,0,0,1,5,4,0,0,0,0,0,0
1,K.Huber,CIN,4,177,0,1,2,1,2,0,0,1,1,0,0,0,0,4,1,0,0,0,0,0
1,M.Dickson,SEA,8,376,0,0,3,0,3,1,0,2,0,0,0,4,34,3,0,0,0,0,0,0
1,S.Martin,DET,8,314,0,0,2,1,1,0,0,4,1,1,1,3,18,5,0,0,0,0,0,0
1,A.Lee,ARI,8,380,0,1,0,1,4,0,0,3,1,0,0,5,-2,5,0,0,0,0,0,0
1,C.Jones,DAL,4,165,0,0,4,0,5,0,0,2,1,0,0,4,36,5,0,0,0,0,0,0
1,R.Dixon,NYG,4,166,0,0,3,1,0,0,0,3,1,0,0,0,0,3,0,0,0,0,0,0
1,M.Wishnowsky,SF,2,91,0,0,0,0,1,0,0,1,0,0,0,1,0,5,1,0,0,0,0,0
1,B.Pinion,TB,2,42,0,0,1,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0
1,J.Bailey,NE,3,123,0,0,2,1,1,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0
1,J.Berry,PIT,5,228,0,0,3,0,2,0,0,2,0,0,0,2,35,1,0,0,0,0,0,0
1,T.Daniel,HOU,4,172,0,0,0,0,1,0,0,1,0,0,0,3,20,4,0,0,0,0,0,0
1,T.Morstead,NO,2,88,0,0,1,1,1,0,0,2,1,1,0,0,0,6,1,0,0,0,0,0
1,C.Wadman,DEN,3,145,0,0,1,1,1,1,0,2,0,0,0,1,9,4,1,0,0,0,0,0
1,A.Cole,OAK,3,134,0,1,1,1,1,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0
2,B.Pinion,TB,6,295,0,0,0,0,1,1,0,2,1,0,0,4,39,4,1,0,0,0,0,0
2,M.Palardy,CAR,5,253,0,0,1,0,3,0,0,2,2,1,0,3,21,4,0,0,0,0,0,0
2,A.Lee,ARI,5,267,0,0,1,0,4,0,0,1,1,0,0,3,45,3,0,0,0,0,0,0
2,S.Koch,BAL,3,129,0,0,2,0,0,0,0,2,1,0,0,1,0,5,0,0,0,0,0,0
2,M.Wishnowsky,SF,2,75,0,0,0,1,0,0,0,1,1,1,0,0,0,7,1,0,0,0,0,0
2,K.Huber,CIN,5,226,0,0,2,0,1,0,0,1,0,0,0,2,4,3,1,0,0,0,0,0
2,S.Martin,DET,4,176,0,0,1,1,0,0,0,2,1,1,0,1,0,1,2,0,0,0,0,0
2,T.Long,LAC,4,202,0,0,0,0,3,0,0,0,0,0,0,4,17,2,2,0,0,0,0,0
2,B.Colquitt,MIN,6,264,0,0,3,0,1,0,0,1,1,1,1,2,0,2,1,0,0,0,0,0
2,J.Scott,GB,8,381,0,1,2,2,2,0,0,1,0,0,0,3,25,3,0,0,0,0,0,0
2,L.Cooke,JAX,6,288,0,0,1,3,1,0,0,4,2,1,1,1,5,2,0,0,0,0,0,0
2,T.Daniel,HOU,7,307,0,0,3,0,1,0,0,1,0,0,0,4,9,3,0,0,0,0,0,0
2,M.Haack,MIA,7,298,0,0,3,1,2,0,0,2,0,0,0,3,9,0,0,0,0,0,0,0
2,J.Bailey,NE,3,144,0,0,0,0,2,0,0,3,1,0,0,2,5,5,3,0,0,0,0,0
2,C.Bojorquez,BUF,7,325,0,0,0,4,3,1,0,1,0,0,0,3,75,4,0,0,0,0,0,0
2,R.Dixon,NYG,5,242,0,0,1,1,2,0,0,2,1,1,0,2,6,2,1,0,0,0,0,0
2,J.Berry,PIT,5,224,0,0,2,0,1,0,0,2,0,0,0,2,10,4,0,0,0,0,0,0
2,M.Dickson,SEA,4,205,0,1,0,1,2,0,0,2,0,0,0,2,12,4,1,0,0,0,0,0
2,R.Sanchez,IND,5,248,0,1,0,2,3,1,0,1,0,0,0,2,26,1,2,0,0,0,0,0
2,B.Kern,TEN,6,288,0,0,1,1,2,1,0,2,0,0,0,4,42,3,1,0,0,0,0,0
2,T.Way,WAS,4,198,0,0,1,1,3,0,0,4,1,0,0,2,4,3,0,0,0,0,0,0
2,C.Jones,DAL,2,101,0,0,2,0,4,0,0,0,0,0,0,5,54,5,0,0,0,0,0,0
2,D.Colquitt,KC,5,196,0,0,2,0,1,0,0,1,0,0,0,2,10,4,0,0,0,0,0,0
2,A.Cole,OAK,6,264,0,0,0,0,2,1,0,2,0,0,0,6,48,2,0,0,0,0,0,0
2,P.O'Donnell,CHI,5,287,0,0,1,0,4,2,1,1,0,0,0,4,35,4,0,0,0,0,0,0
2,C.Wadman,DEN,5,200,0,1,3,0,1,0,0,3,0,0,0,1,7,2,0,0,0,0,0,0
2,T.Morstead,NO,5,244,0,0,3,0,2,0,0,3,1,0,0,2,42,3,0,0,0,0,0,0
2,J.Hekker,LA,4,199,0,0,0,1,2,1,0,0,0,0,0,3,34,5,0,0,0,0,0,0
2,C.Johnston,PHI,4,209,0,0,0,0,3,0,0,3,1,1,1,3,12,2,0,0,0,0,0,0
2,M.Bosher,ATL,3,118,0,0,2,0,0,0,0,0,0,0,0,1,8,4,1,0,0,0,0,0
